,id,id_str,user_location,country_location
102,1353882894310248448,1353882894310248448,"Rhône-Alpes, France",France
103,1353827338799247362,1353827338799247362,Not Available,Unknown
104,1353817185731432450,1353817185731432450,Worldwide,Unknown
105,1353803252815564803,1353803252815564803,Canada,Canada
106,1353787253198368775,1353787253198368775,Washington DC,United States
107,1353785962594246658,1353785962594246658,Not Available,Unknown
108,1353784285006680064,1353784285006680064,"Irvine, California",United States
109,1353771914058149892,1353771914058149892,We Are Everywhere,Unknown
110,1353752369754824704,1353752369754824704,"WenNinglvr, location",Unknown
111,1353738130097119236,1353738130097119236,"Newtown, PA",United States
112,1353736289636519937,1353736289636519937,"Warrington, England",United Kingdom
113,1353736184141373441,1353736184141373441,"Warrington, England",United Kingdom
114,1353730044732956674,1353730044732956674,"Austin, TX",United States
115,1353717828210348032,1353717828210348032,United States,United States
116,1353679120950046721,1353679120950046721,London,United Kingdom
117,1353667378022920192,1353667378022920192,Monaco,Monaco
118,1353665036091318272,1353665036091318272,Not Available,Unknown
119,1353651876949061633,1353651876949061633,"Odder, Danmark",Denmark
120,1353470366774157312,1353470366774157312,Toronto area,Canada
121,1353447666261356549,1353447666261356549,United States,United States
122,1353412636105461760,1353412636105461760,Colombia,Colombia
123,1353409640076337152,1353409640076337152,Not Available,Unknown
124,1353383059891040258,1353383059891040258,"HQ - Arlington, VA",United States
125,1353374594980311043,1353374594980311043,Not Available,Unknown
126,1353366730681307136,1353366730681307136,He/Him We/Us/Ours,Unknown
127,1353350195803729921,1353350195803729921,New York City,United States
128,1353300734784065537,1353300734784065537,"London, UK",United Kingdom
129,1353242844870406144,1353242844870406144,Not Available,Unknown
130,1353205194050289664,1353205194050289664,THE OTHER REALM,Unknown
131,1353195263050076160,1353195263050076160,Not Available,Unknown
132,1353194425112014849,1353194425112014849,"Southfield, MI",United States
133,1353181028970602496,1353181028970602496,Not Available,Unknown
134,1353130375321587712,1353130375321587712,Not Available,Unknown
135,1353034781710307330,1353034781710307330,"Key Largo, FL",United States
136,1353026900571152387,1353026900571152387,"Murrells Inlet, SC",United States
137,1353006406048354304,1353006406048354304,Not Available,Unknown
138,1352981926320214016,1352981926320214016,Brussels,Belgium
139,1352979401596538880,1352979401596538880,"Lexington, MA",United States
140,1352959754088407040,1352959754088407040,"Rochester, NY",United States
141,1352946118066384896,1352946118066384896,Not Available,Unknown
142,1352938979281178624,1352938979281178624,India,India
143,1352932383557898240,1352932383557898240,"Doha, Qatar",Qatar
144,1352916338839269376,1352916338839269376,Freetown,Sierra Leone
145,1352908434203504640,1352908434203504640,Bali,Indonesia
146,1352847995327414277,1352847995327414277,Mid-Atlantic,Unknown
147,1352828995142733826,1352828995142733826,Kincardine Ontario Canada,Canada
148,1352822731687874560,1352822731687874560,Not Available,Unknown
149,1352811849834655746,1352811849834655746,Not Available,Unknown
150,1352791504394145792,1352791504394145792,"Oslo, Norway",Norway
151,1352789909258588160,1352789909258588160,Chicago,United States
152,1352784838957346822,1352784838957346822,Not Available,Unknown
153,1352767198708834309,1352767198708834309,"Vladivostok, Russia",Russia
154,1352765957026942977,1352765957026942977,Not Available,Unknown
155,1352759521723219968,1352759521723219968,"Paris, France",France
156,1352737597106368512,1352737597106368512,München,Germany
157,1352734323624042497,1352734323624042497,Not Available,Unknown
158,1352733763952914432,1352733763952914432,Not Available,Unknown
